Artist Name,Track Name,Class
New Portals,Change of Mind - Acoustic,0
American Flowers,"Birds of Chicago, Allison Russell, JT Nero",0
"Peter, Paul and Mary","Don't Think Twice, It's All Right",0
Indigo,Katherine Priddy,0
Led Zeppelin,Going to California - 1990 Remaster,0
John Prine,Clay Pigeons,0
I Will Be Your Shield,Billy Bragg,0
James Bay,Let It Go - James Bay Spotify Session 2015,0
Song for Nick Drake,Skullcrusher,0
Nate Richert,The Girl I Haven't Met,0
Geist,Shannon Lay,0
Awake for the Sunrise,Flock of Dimes,0
Fleetwood Mac,Landslide,0
IOU,Olivia Chaney,0
"Shafqat Amanat Ali, Shafqat Ali Khan",Shafqat with Shafqat (Lakh Jatan / Khamaj),0
Rekha Bhardwaj,Badi Dheere Jali,0
Sarah Jarosz,Build Me Up From Bones,0
Anoushka Shankar,Naked,0
Low (Acoustic),Angel Snow,0
"Jazim Sharma, Tajasvi Sharma",Inteha,0
Millennial,Aisha Badru,0
Young Rising Sons,Carry On - Acoustic,0
"Shakir Khan, Aarya Ambekar",Bairan,0
Chaos (feat. Plàsi),"Axel Flóvent, Plàsi",0
Gregory Alan Isakov,San Luis,0
Fleetwood Mac,Never Going Back Again - 2004 Remaster,0
"Avanti Patel, Anshuman Sharma",Saiyaan Bina (feat. Anshuman Sharma),0
Morning,Sarah Jarosz,0
Caitlyn Smith,Cheap Date,0
"Christian Lee Hutson, Shamir",Just Like Heaven,0
More Than We Know,"Aoife O'Donovan, The Milk Carton Kids",0
"Bob Dylan, Johnny Cash",Girl from the North Country,0
Lawrence of Arcadia,David Keenan,0
If I Told,Courtney Marie Andrews,0
Daulton Hopkins,I Melt with You,0
Advaita,Spinning,0
Friend,Maple Glider,0
Noah Cyrus,re: Stacks - Spotify Singles,0
John Mayer,Daughters,0
Leah Blevins,Heart of Gold (615 Sessions),0
John Mayer,Slow Dancing in a Burning Room - Acoustic,0
I've Been The One (feat. Meg Baird),"Bill Callahan, Bonnie Prince Billy, Meg Baird",0
"A.R. Rahman, Shashaa Tirupati",Sunn Bhavara,0
Elsmore Carey,Come on Love,0
Learnin' to Drown,Vincent Neil Emerson,0
Ira Wolf,Great Divide,0
"I'm With Her, Paul Kowert",Send My Love (To Your New Lover) - Live,0
Lonely Time,Chris Smither,0
Iron & Wine,Time After Time,0
Advaita,Mere Yaar,0
"Bickram Ghosh, Kala Ramnath",Rasiya,0
Tom Speight,Dakota,0
Richie Havens,Here Comes The Sun,0
All Our Exes Live in Texas,When the Sun Comes Up,0
John Prine,Souvenirs,0
Billy Joel,She's Always a Woman,0
Requiem,Ben Abraham,0
"Bickram Ghosh, Kala Ramnath, Barry Phillips",Yatra,0
Rocky Trail,Kings of Convenience,0
Catholic Country,"Kings of Convenience, Feist",0
i don't wanna talk!,Philip Brooks,0
Avalon (with Francesco Turrisi),"Rhiannon Giddens, Francesco Turrisi",0
Emmylou Harris,Boulder to Birmingham - 2003 Remaster,0
The National Parks,Wind & Anchor,0
Megan Davies,Only Us (Acoustic),0
"Nilotpal Sinha, Shruti Dhasmana",Naino Ke Ishaare,0
Nothing’s Gonna Happen,The Staves,0
Bottle It Up (feat. Greta Stanley),"Riley Pearce, Greta Stanley",0
flora cash,Soul Mate,0
"Molly Parden, Hollow Hum",Landslide,0
Bombay Bandook,Azad,0
Big Brutus,Louise,0
Kanishk Seth,Jhinjhoti,0
Shadow and Light,Baras,0
Midnight Train,David Rawlings,0
Good Thing,Maple Glider,0
Saindhavi,Narayana Ninna Namada,0
The Beatles,Blackbird - Remastered 2009,0
Karnatriix,Entharo Pallavi & Charanam,0
No Memories of Tomorrow,Graeme James,0
That Spell,Andrea von Kampen,0
Dan Mangan,Fool For Waiting,0
Advaita,Hamsadhwani,0
Shreya Ghoshal,Mann Bheetar,0
"John McLaughlin, Shankar Mahadevan, Zakir Hussain",Sakhi,0
Prajakta Shukre,Ka Karoon Sajni - The Unwind Mix,0
Lockdown On Date Night Tuesday,Ondara,0
Peter Bradley Adams,My Arms Were Always Around You,0
Hollow Coves,The Woods - Acoustic,0
Swimming,Maple Glider,0
Where Did You Sleep Last Night,Jake Blount,0
Foy Vance,She Burns,0
Globe,"Billy Strings, Fences",0
Adam Melchor,Last Time,0
"Shreya Ghoshal, Soumyadeep Ghoshal",Angana Morey,0
Simon & Garfunkel,"Mrs. Robinson - From ""The Graduate"" Soundtrack",0
Fareeduddin Ayaz Qawal,Ghayal Hiraniaya,0
Louis Baker,Rainbow,0
A Mermaid in Lisbon,"Patrick Watson, Teresa Salgueiro",0
Under the Concrete,Joshua Burnside,0
New New New...Next Next Next,T. Hardy Morris,0
Allman Brown,Sweetest Thing,0
"Apoorva Krishna, Varijashree Venugopal",Merging Parallels,0
"Muhafiz, Sarthak Kalyani, Siddharth Chopra",Inn Dino,0
Gods and Monsters,"Johnny Flynn, Robert Macfarlane",0
"Landon Austin, Jada Facer",Such Great Heights (Acoustic),0
Papon,Aerii Sakhi Morae - Qawwaali Remake,0
Molly Parden,Sail on the Water,0
"America, George Martin",A Horse with No Name,0
Brandi Carlile,Whatever You Do,0
If Ever (with Jack Johnson & Ben Harper),"Paula Fuga, Jack Johnson, Ben Harper",0
Candle,Buck Meek,0
"John Prine, The Secret Sisters","I Just Called to Say I Love You - Recorded at RCA Studio A, Nashville",0
Nicole Zefanya,Anaheim,0
Barbaro,Barbaro,0
Behind the Light,Joshua Hyslop,0
With You,Cujo Moon,0
"Bickram Ghosh, Kala Ramnath, Lars Moller, V Suresh",Leela,0
Unnikrishnan,Marugelara O Raghava,0
"Keethan, Pavitra Krishnan, Shravan Sridhar",Seher,0
Tango,Rodrigo Amarante,0
Paul McCartney,Great Day,0
Mekaal Hassan Band,Kinaray,0
Sikkil Gurucharan,Bho Shambho,0
"In My Frame, Sarthak Kalyani",Tore Bina Mohe,0
Right on Time,Brandi Carlile,0
Sweet Misery,Tré Burt,0
Goodbye,"The Bros. Landreth, Mariel Buckley",0
Walk Through Fire,Yola,0
"Sandeep Chowta, Abhay Nayampally, Alex Sill, Anthony Crawford",Kaleidoscope,0
Glen Hansard,Wedding Ring,0
Chain Reaction,"Mick Flannery, Susan O'Neill",0
Passenger,Simple Song,0
Shadow and Light,Blue,0
Everything I had,Sun June,0
Don't Know Why,Ghostly Kisses,0
"Surprise, Surprise",Savannah Conley,0
New Star,Watchhouse,0
Deep In Love,"Bonny Light Horseman, Eric D. Johnson, Josh Kaufman, Anaïs Mitchell",0
Understand It,The Franklin Electric,0
"Shankar Mahadevan, John McLaughlin",Luki - Live,0
Valley,Kevin Morby,0
Dustin Tebbutt,Love Is Blind,0
John Prine,That's the Way the World Goes Round,0
Dhaval Kothari,Aaja Re Aa,0
Bahamas,Whole Wide World,0
Colonial Cousins,Krishna,0
Bryde,Silent All These Years,0
"Anhad + Tanner, Akanksha Grover",Coming Home (feat. Akanksha Grover),0
Michelangelo,Cassandra Jenkins,0
Sapling,Foy Vance,0
Juke Ross,Morning Breeze,0
"Shashwat Singh, Rishabh Shankar",Albela,0
The Roving,"Bonny Light Horseman, Eric D. Johnson, Josh Kaufman, Anaïs Mitchell",0
I Wonder Why,"Kacy & Clayton, Marlon Williams",0
Sawyer Fredericks,This Fire,0
"Atmanam, Apoorva Krishna",Essence,0
Television,Lula Wiles,0
"Anhad + Tanner, Isheeta Chakrvarty",Naina (feat. Isheeta Chakrvarty),0
Simon & Garfunkel,America,0
Shadow and Light,Viraha,0
Rotterdam,Pokey LaFarge,0
Gautam Kale,Jiyara,0
Occasionally,Lydia Luce,0
John Mayer,Love on the Weekend,0
Berlin,Fenne Lily,0
Rosey,Bermuda Triangle,0
"N.O.T Playing, Shubham Bharti, Vibhor Mathur",Raag Arambol,0
Upside Down,Watchhouse,0
Bombay Bandook,Tilak,0
Roo Panes,There's A Place,0
Better Things,Kee'ahn,0
That's Life Honey,Boy Scouts,0
God Knows Why,Jenny O.,0
Marianne Faithfull,It's All Over Now Baby Blue,0
Fly Right,Oliver Hazard,0
At Least There's No Babies (feat. Dee White),"Brit Taylor, Dee White",0
Irish Women In Harmony,Dreams,0
Tender Organs,Amythyst Kiah,0
"Art'tma, Shradha Ganesh",Tharangini,0
"Manas Jha, Yamini Santhanam, Mithun Radhakrishna",Zindagi,0
"Fuzon, Shafqat Amanat Ali",Khamaj,0
James Taylor,Fire and Rain,0
Brian World,Sitar Fusion,0
S. J. Jananiy,Kaana Vendaamo,0
"Hariharan, Bickram Ghosh",Baaton Baaton Mein,0
Distant Axis,Matt Berninger,0
neve give up,Son Little,0
The Yellow Diary,Marz,0
Advaita,Miliha,0
Advaita,MoFunk,0
"Devdutta Manisha Baji, Aanandi Joshi, Asad Khan",More Piya,0
"Varun Nimbolkar, Saee Tembhekar",The Unposted Letter,0
Manchester Air,Saint Sister,0
Persephone,Allison Russell,0
Haricharan,"Bharathiyar Medley - Aasai Mugam Maranthu, Paayum Oli, Chinnam Chiru Kiliye",0
Canary In A Coalmine,Benjamin Francis Leftwich,0
George Harrison,All Things Must Pass - 2020 Mix,0
Chinmayi Tripathi,Sakhi Vasant Aaya,0
River Floor,Joe Henry,0
Nina Simone,Just Like a Woman,0
The National Parks,Lover,0
Neil Young,Old Man - 2009 Remaster,0
Faces,Ooh La La - 2004 Remaster,0
Karsh Kale,Milan,0
Participants Of South India Female Choir,Sri Venkatesha Suprabhatam,0
Good Woman,The Staves,0
Campfire,Kevin Morby,0
Cherokee Rose,Eddie Berman,0
Jamie Lawson,Wasn't Expecting That,0
Wind on Tin,Jess Williamson,0
The Band,The Weight,0
Bob Dylan,Shelter from the Storm,0
Better Days,Birdtalker,0
Woman (feat. Lady Lamb),"The Ballroom Thieves, Lady Lamb",0
Pakshee,Raah Piya,0
Ustad Raees Khan,Hans Dhuni,0
Wait a Minute,Ana Egge,0
"Purbayan Chatterjee, Kaushiki Chakraborty, Yogesh Samsi, V. Selvaganesh",Sargam Surge,0
"Mahesh Raghvan, Pragathi Guruprasad, Shravan Sridhar",Pibare Rama Rasam,0
Eye to Eye,"John Smith, Sarah Jarosz",0
Advaita,Ghir Ghir,0
The Monkees,Me & Magdalena,0
Richard Thompson,1952 Vincent Black Lightning,0
"Rhiannon Giddens, Iron & Wine",Forever Young - From NBC's Parenthood,0
"Conner Youngblood, Nylo",Everyday - Edit,0
Doobie Bronson,The Brook & The Bluff,0
The Sinis Spirit,Hope,0
Don't Let Me Disappear,Ben Harper,0
Wristwatch,Husky,0
Nitin Sawhney,Homelands,0
Can I Believe You,Fleet Foxes,0
Eagles,Take It Easy - 2013 Remaster,0
Walk Into a Storm,The Lone Bellow,0
Not Dead Yet,Lord Huron,0
Saindhavi,Rhythm Ecstasy - Bantureethi Koluvu,0
Dan Auerbach,Never in My Wildest Dreams,0
Vance Joy,Georgia,0
Eddie Berman,Joann,0
Ben Howard,Only Love,0
Ben Howard,Only Love,0
Agam,Manavyalakinchara (Mist of Capricorn),0
Mrigya,Ganga,0
"Mahesh Raghvan, Shravan Sridhar",Thillana 2.0 - Mohanakalyani (feat. Shravan Sridhar),0
"Shalmali, Mame Khan, Parth Bharat Thakkar, Purbayan Chatterjee, Nyzel Dlima, Darshan Doshi",Jugaadbandi,0
Haricharan,Jagadananda Karaka,0
Eric Clapton,"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 1999 Remaster",0
Bloomsday,Samantha Crain,0
Swastik The Band,Jogi,0
Advaita,Gamapani,0
Mrigya,Bhaag Bihag,0
"Apoorva Krishna, Shankar Mahadevan",Rāgamaya,0
Ain't That The Way,Holy Hive,0
Kushal Chokshi,Kaahe Kanha,0
Cool Dry Place,Katy Kirby,0
"Nisha Satpute, Reeshabh Purohit, Palindroma",Main Ek Saaya,0
Raagleela,Jaanu Na,0
Say It Ain't So,"Kirby Brown, Molly Parden",0
Strange Overtones,Whitney,0
Pathiena,The Deepest Of Sorrow,0
Paul Simon,Me and Julio Down by the Schoolyard,0
Mahesh Raghvan,Manasa Sancharare,0
Advaita,Mo Funk (Indo-Western Fusion),0
Hush Kids,Love Is a Made up Word,0
"Sur Theka, Shubham Bharti",Kaari Ratiyan,0
In the Kingdom of Dreams,Ian Felice,0
Shivansh Jindal,Pata Nahin,0
"Suhel Rais Khan, Ustad Sultan Khan",Sitar Symphony - Original,0
"Hari & Sukhmani, Noori",Yariyaan,0
Held Down,Laura Marling,0
So Simpatico - Edit,Villagers,0
Honeysuckle Weekends,Ahir Bhairav,0
"Niladri Kumar, Talvin Singh",River,0
Paul Simon,50 Ways to Leave Your Lover,0
Pastime,Samantha Crain,0
Saylee Talwalkar,Shiv Taandav,0
Humbear,Take Your Time,0
Bread,Guitar Man,0
"Ricky Kej, Stewart Copeland, Varijashree Venugopal, Sumarani, Raveolution Strings, Manoj George, Arun Kumar, Jordan Buetov, Vanil Veigas, Devin Ekambaram",Himalayas,0
Here Comes The Light,Jamie Drake,0
Burn Too Bright,Laura Veirs,0
The Woman Who Planted Trees,Emily Barker,0
Jensen McRae,Immune,0
Karsh Kale,High,0
Sucker,Madeline Kenney,0
Govinda,Calm,0
Caroline Spence,The Middle,0
"Fuzon, Shafqat Amanat Ali",Ankhon Ke Saagar,0
Stealers Wheel,Stuck In The Middle With You,0
"Sadhana Sargam, Harshdeep Kaur, Ricky Mishra",Kaun Karat Tori,0
Day by Day,Old Sea Brigade,0
"Inalab, Dhruv Sangari",Sitaron Se Aage,0
Complex,Tristen,0
Ocean Bed,Darlingside,0
Galacticana,Strand of Oaks,0
The First Day,Villagers,0
Maya,Feel It,0
Bad Moves,The Bones of J.R. Jones,0
Mrigya,Rock The Raag,0
Pineapple Express,Relentless,0
Mahesh Raghvan,Siddhivinayakam: A New Beginning,0
"Mani Sharma, Amit Heri, Bombay Jayashri, Nandini Srikar, Ranjani Ramakrishnan",Jagado Dharana,0
"Ricky Kej, Charanraj MR",The Awakening,0
"Midival Punditz, Kutle Khan",Nukhta,0
Still Life (feat. Joseph),"Henry Jamison, JOSEPH",0
The Great Mystifier,Hiss Golden Messenger,0
"Rashmi Vartak, Vidyadhar Bhave",Jhooti Jhooti Batiyaan,0
Bombay Bandook,Sagariya,0
Mahesh Raghvan,Marugelara,0
Lagori,Darbari,0
Karsh Kale,Shyam,0
Fallen,Tolo,0
"Karthick Iyer, Sadashiva Bhramendrar, Haricharan","Manasa Sancharare (From ""Five Strings And A Few Circuits"")",0
Queen Jane Approximately,Emma Swift,0
Agam,The Celestial Nymph (Manassi Dussaham),0
Drive Away With You,Jill Andrews,0
Alchemy,Sakhi Tore Naina,0
"Dublin, Texas",RF Shannon,0
Gowry Lekshmi,Ajitha Hare,0
Look What You've Done,Ron Pope,0
Sodhivine,Sitar Flex,0
Now is the Time,Jade Bird,0
"Midival Punditz, Papon",Purvayi (feat Papon),0
"Midival Punditz, Papon",Purvayi,0
Karsh Kale,Butterfly Effect (Feat. Ankita Joshi),0
Shubha Mudgal,Awakning Main Sutti,0
"Up, Bustle & Out",Tabla Talkin' Dub,0
Handbook,Eyes - Edit,0
"Anhad Khanna, Isheeta Chakrvarty, Tanner Willeford",Jiya,0
Civilian,Wye Oak,0
Aphex Twin,Avril 14th,1
Daniel Avery,Illusion Of Time - Teodor Wolgers Rework,1
Koral Banko,The Nomad,1
Roger Eno,Verdigris,1
Nico,These Days,1
Thom Yorke,Suspirium,1
Neil Cowley,Tramlines,1
Maja Lena,Avalanche,1
REYN,Un Dimanche Orageux,1
Roger Eno,Celeste,1
Balmorhea,Nos,1
√ìlafur Arnalds,Spiral - Sunrise Session,1
Annelie,October,1
Neil Cowley,She Lives in Golden Sands,1
minco eggersman,Abide,1
Masayoshi Fujita,Sadness - Carlos Cipa Rework,1
Peter Broderick,Earnest Leslye,1
Erland Cooper,Haar over Hamnavoe - Bill Ryder-Jones Rework,1
John Ozbay,A Paragon,1
Arcade Fire,Dimensions,1
Phoria,Current,1
Ben Lukas Boysen,Love,1
VOISART,Like Glass,1
Anne M√ºller,Drifting Circles,1
Peter Gregson,The Dive,1
Nils Frahm,My Friend the Forest,1
Henrik Lindstrand,Hallonlandet,1
Tom Ashbrook,Klass,1
Kiasmos,Blurred - Sven Helbig Rework,1
Eyd√≠s Evensen,Bylur,1
Erol Alkan,Waves,1
J√≥hann J√≥hannsson,Wrestling,1
Christian L√∂ffler,Pastoral,1
Nils Frahm,No Step on Wing,1
Phoebe Bridgers,Kyoto - Spotify Singles,1
Tak√©nobu,Fight to Make It Up,1
Ben Harper,Black Eyed Dog,1
Agnes Obel,Parliament Of Owls,1
Doug Kaufman,The Garden,1
Lord Huron,I Lied (with Allison Ponthier),1
Lana Del Rey,Breaking Up Slowly,1
Kelpe,All the Way Round - Edit,1
Father John Misty,Everything Is Free - Recorded at Spotify Studios NYC,1
Matt Rollings,"Stay (Feat. Alison Krauss, with Vince Gill)",1
This Is The Kit,Coming to Get You Nowhere,1
Balmorhea,The Myth,1
Ana Egge,Cocaine Cowboys,1
Ben Sollee,Over The Pines,1
Vanbur,In Cold Light,1
lentra,o shit!,1
Vivian Leva,Will You,1
Marika Hackman,Realiti,1
Jos√© Gonz√°lez,Visions,1
Radiohead,Ill Wind,1
Sinego,Kenopsia,1
Eyd√≠s Evensen,Wandering II,1
Jon Hopkins,Modern Driveway,1
Fantastic Negrito,The Duffler - Acoustic,1
Sarah Jarosz,Hometown,1
Nick Drake,One Of These Things First,1
Sebastian Plano,Soul I (Avow),1
The Bees,A Minha Menina,1
Piers Faccini,Hope Dreams,1
Neil Cowley,Don‚Äôt Walk Alone,1
Jacques Greene,Promise,1
Nick Mulvey,Third Way,1
Vitamin String Quartet,New World,1
David Miner,Silver Valley,1
Andrew Bird,Olympians - Acoustic,1
The Tallest Man On Earth,The Running Styles of New York,1
AlienBlaze,Hate Me,1
Sturgill Simpson,Paradise,1
Witch Prophet,Shine,1
Melodiesinfonie,Strong Ankles,1
benny blanco,Care (with Omar Apollo),1
Jimbo Mathus,Sweet Oblivion,1
Lala Lala,Destroyer,1
Zara McFarlane,Everything Is Connected,1
Lou Reed,Perfect Day,1
Liz Phair,Fuck and Run,1
Sarah Palu,Ikivirta,1
Elvis Costello,Alison,1
T≈çth,Turnaround (Cocaine Song),1
"Astronauts, etc.",Cherry Plum,1
Julien Baker,Favor,1
Arlo Parks,Hurt,1
Alan Jackson,Where Have You Gone,1
maye,Yours,1
Nadia Reid,All of My Love,1
Little Simz,Woman,1
Townes Van Zandt,Waitin' Around To Die,1
Two Feet,I Feel Like I'm Drowning,1
Joshua Burnside,Under the Concrete,1
Izaak Opatz,Not Yet,1
Cody Johnson,Sad Songs and Waltzes (with Willie Nelson),1
Sid Vicious,My Way - 1993 Remastered Version,1
Fossa Beats,Gonna Be,1
Switchfoot,i need you (to be wrong),1
BluntOne,Timing,1
Kylie V,On My Mind,1
Rosie Frater-Taylor,Better Days,1
Young Clancy,GRIM REAP,1
Jonathan Richman,I Was Dancing In The Lesbian Bar,1
NewDad,I Don't Recognise You,1
Ouri,Too Fast No Pain,1
Hiss Golden Messenger,Everybody Needs Somebody,1
Î∞ïÌòúÏßÑ Park Hye Jin,CLOUDS,1
Big Thief,UFOF,1
Shannon Lay,August,1
Helena Deland,Truth Nugget,1
Hiatus Kaiyote,Red Room,1
AURORA,Runaway,1
alt-J,Every Other Freckle,1
Saint Sister,Causing Trouble - Kormac Remix,1
Saint Sister,Causing Trouble,1
The Brook & The Bluff,Misnomer,1
Samantha Crain,Holding to the Edge of Night,1
Lianne La Havas,Seven Times - Wu-Lu Remix,1
A Winged Victory for the Sullen,So That The City Can Begin To Exist,1
Blind Melon,No Rain,1
wordsbyjuni,cause it's dark outside,1
St. Vincent,The Melting Of The Sun,1
Oddisee,Still Strange (feat. Priya Ragu & Sainte Ezekiel),1
RF Shannon,Ballad Of A Thin Place,1
Adia Victoria,Dope Queen Blues,1
Luke Combs,The Great Divide,1
serpentwithfeet,Heart Storm (with NAO),1
Farhot,Feel Ugly,1
Cassandra Jenkins,Michelangelo,1
Elina Filice,Thinking of You,1
Blind Faith,Can't Find My Way Home,1
Billy Strings,Away From The Mire,1
Small Faces,Itchycoo Park,1
Helena Deland,Someone New,1
David Keenan,The Healing,1
Nick Mulvey,Moment Of Surrender,1
Samia,Big Wheel,1
Charley Crockett,Midnight Run,1
Tamino,Cigar,1
Jamie Lin Wilson,T Total Tommy,1
Mama Od√©,Wadada Lasts,1
Jaime Wyatt,Sweet Mess,1
Arthur Brown,Fire,1
Hayley Williams,Over Those Hills,1
Allysha Joy,Light It Again - Radio Edit,1
Pip Millett,Running (feat. Ghetts),1
Bahamas,Trick To Happy,1
Katy Kirby,Juniper,1
Allysha Joy,Watercolours,1
Jonathan Terrell,Love Can Find You Anywhere,1
Jenny O.,God Knows Why,1
Native Dancer,Pixies,1
Waxahatchee,Lilacs,1
Dardust,R√ºckenfigur,1
There,Swimming Backwards,1
Leif Vollebekk,Long Blue Light,1
Villagers,A Trick of the Light,1
Lainey Wilson,Things A Man Oughta Know,1
Teia Elaine,Letter,1
King Gizzard & The Lizard Wizard,Sense,1
Darlingside,Paradise Bay,1
Courtney Marie Andrews,It Must Be Someone Else‚Äôs Fault,1
Olive Amun,Blues,1
The Vaselines,Son Of A Gun,1
bonsi,Mouth of Shame,1
Alice Phoebe Lou,Lovesick,1
Elder Island,Feral - letherette Remix,1
Mndsgn,Hope You're Doin' Better,1
Waylon Payne,Santa Ana Winds,1
Jefferson Airplane,White Rabbit,1
Sean Leon,free,1
The Recall,can you hear me,1
The Cure,The Lovecats,1
Benny Sings,Nobody‚Äôs Fault,1
The Raincoats,Lola,1
Laura Marling,Devil's Spoke,1
Tyler Childers,House Fire (feat. The Travelin' McCourys),1
Skating Polly,Hollywood Factory,1
The Beta Band,Inner Meet Me,1
The Wild Reeds,Lose My Mind,1
Yola,Rock Me Gently,1
Otis Kane,Sweet Sensation,1
Slow Pulp,Steel Birds,1
The Kinks,Lola - Remastered,1
Nana Adjoa,No Room,1
Allison Russell,Persephone,1
Eric Church,Bunch Of Nothing,1
alt-J,Left Hand Free,1
Paper Idol,Feel Real Pretty,1
Taletta,Nancy Knew,1
Ruti,My Sunrise,1
Tunng,Bodies,1
Joe Turner,Too Much,1
The Rolling Stones,Gimme Shelter,1
Michl,Holidays,1
Roxy Music,Virginia Plain,1
Jamestown Revival,Crazy World (Judgement Day),1
Glass Animals,Heat Waves,1
Jake Milliner,Juno,1
Wire,Outdoor Miner - 2006 Remastered Version,1
Faces,Ooh La La - 2015 Remaster,1
Argonaut & Wasp,Dog Days,1
Justin Townes Earle,Ain‚Äôt Got No Money,1
Myd,We Found It,1
Biig Piig,Oh No,1
Silver Apples,Oscillations,1
Yellow Ostrich,Julia,1
Arlo Parks,Hope,1
Them,Gloria - Stereo Version,1
Greentea Peng,Hu Man,1
Ashley Monroe,Til It Breaks,1
Khruangbin,Summer Madness,1
Curtis Harding,Hopeful,1
David Bowie,The Jean Genie - 2013 Remaster,1
Arlo Parks,Caroline,1
ceo@business.net,buttercup 2,1
alt-J,Tessellate,1
Mathieu Boogaerts,Am I Crazy,1
Cupidon,"Wake Up, Get Down",1
Savel,Forgetting - Tennyson Remix,1
Eels,Last Stop: This Town,1
Sorcha Richardson,The Starlight Lounge,1
Hiss Golden Messenger,I Need a Teacher,1
The Doors,Light My Fire,1
Pretenders,Brass in Pocket - 2006 Remaster,1
Baltra,Baby,1
Chastity Belt,The Process,1
Molly Burch,Emotion feat. Wild Nothing,1
Sparks,This Town Ain't Big Enough For Both Of Us,1
Sipper,woah,1
Gurr,She Says,1
Alan Jackson,Write It In Red,1
Jordan Rakei,Wind Parade,1
The Normal,Warm Leatherette,1
Bachelor,Sick of Spiraling,1
Charlie Marie,Heard It Through the Red Wine,1
Caroline Rose,Freak Like Me,1
BOYFRN,Last Night,1
Rostam,These Kids We Knew,1
Lord Huron,Not Dead Yet,1
Prateek Kuhad,cold/mess - edit,1
Busty and the Bass,Time Don't Make Me A Stranger - Instrumental,1
Arlo Parks,Green Eyes,1
Gordi,Unready,1
Suray Sertin,Super Good Times,1
Porridge Radio,Good For You,1
Misha,2 Cool,1
The Kount,Detour,1
Maddie Jay,CR78,1
The Velvet Underground,Heroin,1
Adam Chaffins,Now I Don't Know,1
Young Clancy,PARABLE 3,1
Julia Jacklin,"to Perth, before the border closes",1
Eric Church,Where I Wanna Be,1
Caamp,Officer of Love,1
Solomun,Ocean (feat. Jamie Foxx) - Moodymann & Amp Fiddler Extended Remix,1
Moonshine,Ginseng,1
The Yardbirds,Over Under Sideways Down - The Mono Album,1
Jagguar,Guessing in a Row,1
The White Stripes,My Doorbell,1
The Sundays,Here's Where The Story Ends,1
Laura Marling,Strange Girl,1
Family Jools,Georgia,1
The Coral,Pass It On,1
Ida Mae,Click Click Domino (feat. Marcus King),1
Frameworks,Cusp - Edit,1
Jonathan Tyler,Old Friend,1
Cam,Forgetting You,1
Richard Hell,Blank Generation,1
Emanuel,Worldwide,1
Miss Grit,Impostor,1
Chris Stapleton,You Should Probably Leave,1
LOONY,royal flush,1
Dan Kye,Moving,1
The Kinks,All Day and All of the Night,1
Noname,Rainforest,1
SEND MEDICINE,She Believes in the Devil,1
