Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Genre
'68,Bad Bite,36,0.558,0.977,1,-5.082,1,0.211,0.000618,0.0013,0.316,0.473,167.984,190031,4,1
'68,Bad Bite,36,0.558,0.977,1,-5.082,1,0.211,0.000618,0.0013,0.316,0.473,167.984,190031,4,6
'68,Bad Bite,36,0.558,0.977,1,-5.082,1,0.211,0.000618,0.0013,0.316,0.473,167.984,190031,4,10
6th Street Jazz,Tonda,48,0.479,0.179,2,-18.337,1,0.0315,0.952,0.936,0.208,0.201,68.672,5.184483333,3,7
8 Ball Aitken,Ice Cream Man,25,0.569,0.761,9,-4.78,0,0.0343,0.0315,0.000694,0.0958,0.694,90.024,209601,4,2
80KIDZ,Your Closet - yonkey Remix,18,0.666,0.537,7,-6.492,1,0.159,0.172,1.76E-06,0.0654,0.549,105.136,197995,4,9
A,Nothing,69,0.508,0.33,4,-14.071,1,0.0265,0.259,0.154,0.114,0.101,96.818,286293,4,8
a crowd of rebellion,Meteor,36,0.474,0.943,7,-1.973,0,0.0577,3.60E-05,0.000114,0.364,0.423,103.441,202567,4,10
A Day To Remember,Paranoia,64,0.409,0.992,3,-2.803,0,0.108,4.82E-05,2.03E-06,0.1,0.344,149.859,200677,4,10
A Day To Remember,Brick Wall,57,0.177,0.958,9,-3.629,1,0.193,9.28E-05,0.000374,0.177,0.209,76.538,210200,4,10
A Flock Of Seagulls,I Ran,56,0.525,0.858,9,-4.927,0,0.0345,0.000466,0.878,0.166,0.669,145.492,220307,4,10
A Light Divided,Radio Silence,38,0.53,0.959,9,-7.005,0,0.0553,0.000114,0.0104,0.394,0.392,120.012,188135,4,8
A Mermaid in Lisbon,"Patrick Watson, Teresa Salgueiro",51,0.428,0.447,6,-10.755,0,0.0377,0.706,0.00393,0.195,0.532,79.222,3.477483333,4,0
A Perfect Circle,The Doomed,54,0.367,0.903,4,-5.956,0,0.175,0.0477,0.00124,0.235,0.239,106.329,281781,3,8
A Perfect Circle,3 Libras,63,0.518,0.744,9,-8.248,1,0.0374,0.00383,0.007,0.078,0.211,144.019,219640,3,10
A Perfect Circle,Judith,67,0.366,0.894,11,-4.682,0,0.0568,3.45E-05,0.17,0.267,0.304,82.305,247267,3,10
A Perfect Circle,The Doomed,54,0.367,0.903,4,-5.956,0,0.175,0.0477,0.00124,0.235,0.239,106.329,281781,3,10
A Scent Like Wolves,Telephone,39,0.553,0.939,3,-4.04,0,0.0795,0.000833,0.000181,0.404,0.369,124.984,198840,4,8
A Thousand Horses,Livin' My Best Life,48,0.578,0.948,7,-3.486,1,0.0407,0.000963,0.015,0.289,0.751,115.951,185191,4,10
A Tribe Called Quest,Electric Relaxation,67,0.866,0.534,11,-9.201,1,0.229,0.184,0.266,0.0929,0.841,98.243,226133,4,5
A Tribe Called Quest,Award Tour,64,0.812,0.6,7,-9.414,1,0.254,0.00308,8.38E-06,0.173,0.555,97.338,226440,4,5
A Tribe Called Quest,Scenario,60,0.795,0.6,2,-14.004,1,0.341,0.112,0.000171,0.111,0.633,101.78,250133,4,5
A Winged Victory for the Sullen,So That The City Can Begin To Exist,40,0.152,0.0625,5,-23.396,1,0.0358,0.619,0.904,0.0802,0.0355,85.971,286962,3,1
A Winged Victory for the Sullen,So That The City Can Begin To Exist,40,0.152,0.0625,5,-23.396,1,0.0358,0.619,0.904,0.0802,0.0355,85.971,286962,3,6
A$AP Ferg,Move Ya Hips (feat. Nicki Minaj & MadeinTYO),64,0.808,0.676,4,-4.902,1,0.223,0.0618,2.68E-06,0.11,0.0763,144.018,144973,4,5
A. G. Cook,Being Harsh,45,0.588,0.162,3,-15.891,1,0.0334,0.911,0.436,0.107,0.401,86.967,188545,4,6
A.A. Bondy,Images of Love,34,0.721,0.37,6,-9.69,1,0.0332,0.245,0.00912,0.0769,0.629,84.991,219000,4,1
A.C. Reed,She's Fine,32,0.501,0.44,9,-14.466,1,0.0372,0.202,0.00145,0.107,0.868,82.489,258227,4,2
A.R. Rahman,Mylapore Blues,14,0.729,0.382,7,-15.02,1,0.0361,0.856,0.837,0.179,0.333,131.946,365440,3,6
"A.R. Rahman, Anuradha, Anupama",Dil Se Re,54,0.844,0.442,9,-16.54,1,0.0691,0.00882,0.000498,0.0879,0.436,105.986,6.761783333,4,3
"A.R. Rahman, Jonita Gandhi, Hriday Gattani",Main Tumhara,62,0.236,0.14,7,-13.478,1,0.0343,0.916,0.000148,0.087,0.123,76.805,4.3121,4,3
"A.R. Rahman, S. P. Balasubrahmanyam, K. S. Chithra",Yeh Haseen Vadiyan Yeh Khula Aasman,56,0.64,0.295,5,-16.357,1,0.0397,0.425,2.05E-06,0.0804,0.107,121.903,5.33355,4,3
"A.R. Rahman, Shashaa Tirupati",Sunn Bhavara,31,0.545,0.356,4,-15.239,1,0.0937,0.829,0.00053,0.297,0.427,144.235,4.388883333,4,0
√ìlafur Arnalds,Spiral - Sunrise Session,48,0.206,0.0999,8,-17.834,1,0.039,0.982,0.868,0.106,0.0576,74.726,250160,4,1
√ìlafur Arnalds,Loom (feat. Bonobo),61,0.545,0.18,5,-21.022,0,0.0337,0.988,0.906,0.0686,0.31,156.694,226867,4,6
"Ólafur Arnalds, Alice Sara Ott",Verses,42,0.14,0.159,1,-17.845,0,0.0401,0.867,0.917,0.392,0.0331,142.239,4.052666667,3,7
–∫—É–ª—å—Ç–æ–¥–∏–Ω–æ—á–µ—Å—Ç–≤–∞,–°–Ω–µ–≥,30,0.581,0.675,7,-10.567,1,0.0561,0.231,0.585,0.117,0.43,151.96,225802,4,6
–∏—Å—Ç–æ—á–Ω–∏–∫,—Å—Ç—Ä–∞—Ö,40,0.379,0.685,11,-6.433,0,0.0353,0.0134,0.00778,0.294,0.112,105.584,203333,4,6
–¢—Ä—É–¥,–î—Ä—É–≥,38,0.421,0.903,6,-3.213,0,0.0569,0.000385,0.86,0.136,0.913,138.436,208562,4,6
–£–≤—É–ª–∞,–ü—É–ª—å—Å,42,0.314,0.724,9,-3.169,0,0.0334,0.0225,0.87,0.108,0.449,149.681,171038,4,6
–£–≤—É–ª–∞,–≠–ª–µ–∫—Ç—Ä–∏—á–µ—Å–∫–∏–π —Ç–æ–∫,51,0.378,0.851,11,-3.868,0,0.0574,0.00336,0.931,0.0822,0.232,109.238,214382,4,6
–†—É—Ç–∏–Ω–∞,–ß—ë—Ä–Ω–∞—è –¥—ã—Ä–∞,24,0.547,0.817,11,-11.861,0,0.0362,0.0266,0.666,0.0767,0.856,114.976,200121,4,6
–§–∏—Ä–º–∞-–æ–¥–Ω–æ–¥–Ω–µ–≤–∫–∞,–ò–∑ –æ–∫–Ω–∞,28,0.594,0.806,9,-6.24,1,0.0436,0.000986,0.000774,0.0934,0.583,82.486,317227,4,6
–ì—Ä—É–ø–ø–∞ –•–º—É—Ä—ã–π,–ù–ï–í–ó–ê–ò–ú–ù–û (–ù–ï –°–û –ú–ù–û–ô),25,0.484,0.863,10,-7.548,1,0.0465,0.00198,0.582,0.0667,0.623,133.052,186500,4,6
–ì—Ä—É–ø–ø–∞ –•–º—É—Ä—ã–π,–†–æ–¥–∏–Ω–∞,29,0.539,0.701,7,-13.176,1,0.0673,0.29,0.694,0.31,0.498,139.967,261536,4,6
–ì—Ä—É–ø–ø–∞ –•–º—É—Ä—ã–π,–ù–∞ —Ä–µ–∫–µ,33,0.304,0.766,1,-10.124,0,0.047,0.00238,0.884,0.125,0.269,176.904,313220,4,6
–î–∞–π—Ç–µ —Ç–∞–Ω–∫ (!),–í—ã,44,0.374,0.946,7,-2.672,0,0.0904,0.178,3.88E-05,0.248,0.505,180.149,168200,4,6
–®—Ç–∞–¥—Ç,–ü–µ—Ä–ø–µ—Ç—É—É–º-–º–æ–±–∏–ª–µ,26,0.522,0.747,2,-9.554,1,0.033,2.21E-05,0.868,0.139,0.313,124.995,257088,4,6
–î—É—Ä–Ω–æ–µ –í–ª–∏—è–Ω–∏–µ,–ñ–∏–∑–Ω—å –∫–∞–∫ –±–æ–ª–µ–∑–Ω—å,32,0.237,0.7,11,-11.703,1,0.0547,0.00646,0.814,0.122,0.125,136.016,303987,4,6
–î—É—Ä–Ω–æ–π –í–∫—É—Å,–ü–ª–∞—Å—Ç–∏–Ω–∫–∏,58,0.496,0.914,2,-6.368,0,0.0351,0.0963,0.765,0.085,0.723,172.965,184509,4,6
–î—É—Ä–Ω–æ–π –í–∫—É—Å,–∑–≤—É–∫ –∏ —Ç–µ–º–Ω–æ—Ç–∞,45,0.537,0.751,4,-6.36,0,0.0331,0.346,0.845,0.0944,0.776,163.963,210732,4,6
–°–ø–∞—Å–∏–±–æ,–°—á–∏—Ç–∞–ª–æ—á–∫–∞,34,0.522,0.938,11,-4.23,0,0.0497,0.000672,0.145,0.125,0.304,111.093,255078,4,6
–ö–£–ó–ò–ù–ê,–°—Ç—Ä–∞–Ω–Ω–∏–∫,26,0.576,0.955,9,-4.122,1,0.123,0.0221,0.635,0.0469,0.624,80.006,262000,4,6
–ò–º–ø—É–ª—å—Å-80,–í–µ–ª–æ—Å–∏–ø–µ–¥–Ω–∞—è —Ä–æ–º–∞–Ω—Ç–∏–∫–∞,20,0.589,0.691,10,-9.078,1,0.0717,0.318,0.881,0.0875,0.966,179.908,233340,4,6
–ò—é–ª—å—Å–∫–∏–µ –î–Ω–∏,–ù–µ –¥–ª—è –º–µ–Ω—è,42,0.406,0.833,4,-8.578,0,0.0513,0.00227,0.857,0.154,0.263,159.944,248392,4,6
–ó–∞–≥–æ–≤–æ—Ä,–ù–µ –∑–Ω–∞—é,26,0.619,0.706,10,-10.396,0,0.034,0.0918,0.629,0.0781,0.6,130.001,204000,4,6
–ê—Ä—Å–µ–Ω–∏–π –ö—Ä–µ—Å—Ç–∏—Ç–µ–ª—å,–ú–æ–π –≤–µ–π–ø,33,0.439,0.607,7,-8.02,1,0.0326,0.104,0.0908,0.146,0.487,84.085,236310,4,6
–ß—ë—Ä–Ω–∞—è –†–µ—á–∫–∞,–†–µ–∫–∞,30,0.46,0.852,4,-5.11,1,0.0846,0.206,0.0692,0.485,0.642,150.116,132957,4,6
–ß—ë—Ä–Ω–∞—è –†–µ—á–∫–∞,–î—Ä—É–≥,43,0.435,0.883,11,-5.494,0,0.0346,0.426,0.594,0.182,0.446,146.972,196824,4,6
–ß—ë—Ä–Ω–∞—è –†–µ—á–∫–∞,–ù–µ—Ç,41,0.622,0.779,2,-5.672,1,0.0314,0.0808,0.482,0.103,0.728,145.021,208000,4,6
„Çµ„ÇØ„É©SAKURA-LEE,Friends,32,0.715,0.601,6,-13.251,1,0.303,0.0495,0.000902,0.447,0.802,123.45,169551,4,6
A92,Spin Dat,15,0.899,0.49,8,-8.563,1,0.51,0.115,1.13E-06,0.0954,0.592,141.959,218239,4,5
Aaron Frazer,Over You,48,0.684,0.686,6,-6.823,1,0.0484,0.116,0.0538,0.0732,0.912,140.646,159105,4,9
Aaron Goldberg,The Wind In The Night,39,0.427,0.0787,10,-25.917,1,0.0413,0.98,0.933,0.0867,0.0398,140.156,5.044,4,7
"Aaron Parks, Ben Street, Billy Hart",Song For Sashou,39,0.509,0.145,11,-22.768,0,0.0317,0.93,0.898,0.116,0.317,134.676,6.366883333,4,7
Aaron Smith,Unconditional,56,0.438,0.309,8,-9.022,0,0.0565,0.886,1.78E-06,0.21,0.314,137.705,203000,4,9
Aarti Mukherji,Do Naina Aur Ek Kahani,30,0.5,0.31,9,-13.013,1,0.028,0.717,1.81E-06,0.0509,0.387,95.492,5.444,4,3
ABBA,Waterloo - Live,37,0.396,0.811,2,-10.441,1,0.0419,0.000601,0.000599,0.677,0.343,159.426,3.850666667,4,9
Abbath,Harvest Pyre,36,0.287,0.962,6,-4.235,1,0.0605,3.70E-06,0.887,0.34,0.255,173.094,252067,4,8
Abbath,Winter Bane,39,0.471,0.959,8,-6.042,1,0.0545,1.02E-05,0.844,0.183,0.194,141.969,409840,4,8
Abbie Falls,No One's Above,42,0.193,0.994,10,-3.387,1,0.136,1.41E-05,0.879,0.234,0.0701,90.022,213733,4,8
Abby Sage,Smoke Break,30,0.573,0.452,11,-6.642,1,0.0312,0.196,5.64E-06,0.124,0.149,76.014,207353,4,6
Abdallah Harati,Sons de Carrilhões,41,0.495,0.154,7,-22.005,1,0.0431,0.937,0.897,0.0944,0.606,151.757,3.618833333,4,7
"Abhijeet Srivastava, Amit Trivedi","Phisal Jaa Tu (From ""Haseen Dillruba"")",56,0.694,0.563,7,-10.421,1,0.0317,0.641,0.00105,0.16,0.203,132.118,4.021116667,4,3
Abhinav Saxena,Indian Sunrise,18,0.64,0.304,2,-10.41,1,0.0522,0.815,0.805,0.0943,0.291,119.316,153529,3,6
Abimaro,Folding,52,0.462,0.203,10,-16.313,1,0.0355,0.975,0.113,0.102,0.437,153.716,227651,4,9
Abiotic,Emerald,32,0.317,0.94,5,-9.713,1,0.142,0.000699,0.84,0.391,0.0754,112.506,285000,3,8
Abiotic,Smoldered,20,0.261,0.935,1,-10.595,1,0.109,2.26E-05,7.11E-05,0.0743,0.221,143.92,312271,4,8
ABIR,Inferno,40,0.598,0.661,1,-3.597,0,0.0946,0.0106,3.33E-06,0.302,0.671,121.281,174205,5,9
Ablaye Cissoko,Signare,24,0.519,0.404,5,-7.12,1,0.0749,0.906,0.864,0.101,0.35,134.366,4.391783333,3,7
Ablaye Cissoko,Ba - Océan,25,0.388,0.361,3,-11.061,0,0.039,0.899,0.909,0.159,0.309,79.713,5.44555,4,7
Ablaze My Sorrow,At the Grave of Giants,24,0.506,0.934,1,-8.391,1,0.0472,5.06E-06,4.41E-06,0.357,0.486,109.986,283500,4,8
"Above, Below",Paradise,26,0.474,0.992,9,-2.633,0,0.284,0.00046,0.000258,0.087,0.0826,125.042,195970,4,8
aboynamedblu,where lucy said,25,0.5,0.195,4,-15.948,0,0.0283,0.887,0.000357,0.141,0.304,84.996,198754,4,10
Absofacto,Dissolve,72,0.688,0.582,6,-10.668,0,0.0542,0.23,0.000157,0.0663,0.872,85.486,224661,4,10
ABSOLUTE.,Sage comme une image - Good as Gold,44,0.792,0.873,6,-8.622,0,0.329,0.00402,0.000396,0.25,0.672,124.996,236165,4,1
ABSOLUTE.,Convalesce (feat. REGALJASON),42,0.57,0.804,8,-6.739,1,0.037,0.00611,0.784,0.114,0.0795,122.991,249148,4,1
ABSOLUTE.,Convalesce (feat. REGALJASON),42,0.57,0.804,8,-6.739,1,0.037,0.00611,0.784,0.114,0.0795,122.991,249148,4,6
Abstract Orchestra,New Day,45,0.748,0.411,8,-6.06,0,0.0489,0.0532,0.0117,0.115,0.339,91.941,145052,4,5
Absu,Pillars Of Mercy,30,0.269,0.993,8,-6.664,1,0.0866,0.00134,0.393,0.129,0.161,145.99,261693,4,8
Abyss Walker,Parasite,29,0.291,0.963,9,-4.671,0,0.138,0.00128,0.0015,0.352,0.118,104.984,231643,4,8
AC/DC,Highway to Hell,83,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,208400,4,8
AC/DC,Demon Fire,64,0.521,0.881,9,-5.309,1,0.0387,4.93E-06,0.0114,0.141,0.564,160.026,210360,4,8
AC/DC,T.N.T.,78,0.754,0.759,9,-5.218,1,0.302,0.153,0.000108,0.101,0.435,126.366,214667,4,8
AC/DC,Safe in New York City,50,0.494,0.881,9,-4.773,1,0.037,0.0111,0.00953,0.104,0.623,160.942,239467,4,8
AC/DC,Back In Black,84,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,255493,4,8
AC/DC,Big Gun,59,0.569,0.901,9,-5.197,1,0.0544,0.00555,0.26,0.16,0.839,133.194,259413,4,8
AC/DC,The Razors Edge,51,0.408,0.947,4,-3.522,1,0.0532,0.00108,0.195,0.168,0.306,101.053,262533,4,8
AC/DC,Hard as a Rock,61,0.481,0.724,4,-5.642,1,0.0324,0.0018,0.177,0.11,0.2,116.322,271000,4,8
AC/DC,Thunderstruck,83,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,292880,4,8
AC/DC,Highway to Hell,83,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,3.47333333,4,10
AC/DC,T.N.T.,77,0.754,0.759,9,-5.218,1,0.302,0.153,0.000108,0.101,0.435,126.366,3.57778333,4,10
AC/DC,Back In Black,83,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,4.25821667,4,10
AC/DC,Whole Lotta Rosie,64,0.292,0.838,9,-4.459,1,0.078,0.0014,0.479,0.0953,0.423,159.176,5.56333333,4,10
AC/DC,Shot In The Dark,67,0.599,0.787,2,-4.708,1,0.0338,2.07E-05,5.27E-05,0.064,0.822,114.065,185133,4,10
AC/DC,Shot Down in Flames,55,0.531,0.864,7,-4.534,1,0.08,0.00164,0.132,0.884,0.665,130.722,202867,4,10
AC/DC,Highway to Hell,83,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,208400,4,10
AC/DC,You Shook Me All Night Long,80,0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,210173,4,10
AC/DC,T.N.T.,78,0.754,0.759,9,-5.218,1,0.302,0.153,0.000108,0.101,0.435,126.366,214667,4,10
AC/DC,Realize,65,0.455,0.79,7,-4.049,1,0.0432,3.78E-06,0.00021,0.0866,0.22,125.964,217467,4,10
AC/DC,Dirty Deeds Done Dirt Cheap,73,0.668,0.906,11,-4.881,0,0.17,0.214,0.00245,0.135,0.507,135.653,231933,4,10
AC/DC,Back In Black,84,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,255493,4,10
AC/DC,Rock N Roll Train,69,0.547,0.931,2,-2.356,1,0.0615,0.000998,0.0118,0.278,0.697,118.4,261507,4,10
AC/DC,Hard as a Rock,61,0.481,0.724,4,-5.642,1,0.0324,0.0018,0.177,0.11,0.2,116.322,271000,4,10
AC/DC,For Those About to Rock (We Salute You),65,0.37,0.919,4,-5.721,1,0.102,0.000376,0.419,0.49,0.471,134.021,344240,4,10
AC/DC,Live Wire,56,0.586,0.84,7,-5.341,1,0.0487,0.0122,0.0116,0.0842,0.0784,132.36,348600,4,10
AC/DC,Let There Be Rock,63,0.332,0.725,11,-5.809,0,0.116,0.000209,0.607,0.0767,0.422,182.364,366347,4,10
Accept,Life's a Bitch,52,0.612,0.822,9,-6.418,1,0.0428,0.000719,0.00019,0.14,0.686,128.018,226093,4,8
Accept,Fast As A Shark,47,0.431,0.95,2,-11.399,1,0.117,0.000109,0.248,0.232,0.162,140.05,228667,4,8
Accept,The Best Is yet to Come,46,0.402,0.647,11,-7.243,0,0.032,0.00281,1.77E-05,0.111,0.508,167.973,287467,4,8
Accept,Koolaid,53,0.548,0.904,11,-5.197,1,0.03,0.000429,0.0842,0.37,0.342,129.016,299720,4,8
Accept,Zombie Apocalypse,46,0.392,0.977,4,-6.009,0,0.101,3.78E-05,0.0776,0.119,0.207,195.984,335360,4,8
Accept,The Undertaker,46,0.625,0.737,4,-8.438,0,0.0351,0.00939,0.0205,0.228,0.224,124.999,338255,4,8
Accept,Balls to the Wall,61,0.544,0.739,9,-7.383,1,0.0517,0.00392,0.000143,0.168,0.328,118.287,342600,4,8
Accuser,Phantom Graves,11,0.528,0.985,2,-3.665,1,0.0799,0.000171,0.103,0.445,0.208,101.995,239387,4,8
Acid King,Electric Machine,43,0.321,0.662,5,-10.374,1,0.0349,0.00352,0.503,0.105,0.199,117.853,384867,4,8
Ackerman,dodeca,24,0.447,0.901,4,-5.791,1,0.0744,0.247,0.282,0.126,0.759,65.974,237787,4,6
Acollective,Circles,34,0.516,0.513,10,-11.12,0,0.0298,0.512,0.289,0.117,0.48,173.047,193294,4,6
Acollective,Happiest of All Memorial Days,37,0.412,0.51,6,-8.276,0,0.0298,0.348,0.57,0.0787,0.23,147.904,281093,4,6
Acqua Fragile,Mass-Media Stars,20,0.385,0.94,11,-3.832,0,0.0725,0.475,0.00651,0.102,0.798,161.022,413893,3,10
Action Bronson,Mongolia [Feat. Hologram & Meyhem Lauren],46,0.563,0.809,6,-5.678,1,0.326,0.452,1.76E-05,0.214,0.691,80.524,172040,4,5
Activity,White Phosphorus,18,0.541,0.811,11,-7.292,1,0.03,0.0321,0.515,0.211,0.211,137.095,303666,4,10
Adam Baldych,Clouds,28,0.19,0.136,10,-14.818,1,0.0404,0.987,0.712,0.0768,0.0819,71.597,425905,4,6
Adam Chaffins,Now I Don't Know,33,0.61,0.6,5,-4.465,1,0.0915,0.304,0.00105,0.102,0.757,132.447,211133,4,1
Adam Douglas,Build A Fire,27,0.53,0.956,4,-6.327,0,0.0861,0.00577,0.00808,0.101,0.907,171.982,278367,4,2
Adam Douglas,Change My Mind,35,0.341,0.473,9,-7.097,1,0.0339,0.389,3.83E-05,0.273,0.2,132.764,301304,4,2
Adam Melchor,Last Time,52,0.493,0.556,7,-11.351,1,0.102,0.714,0.0439,0.287,0.409,146.057,3.23288333,4,0
Adam Melchor,Moon in the Morning,60,0.458,0.464,5,-9.126,0,0.031,0.799,3.42E-05,0.109,0.256,122.821,194267,4,6
